"BC9","BC10","JB5","JB7","135E","JBC","JB370","cond","rep","pres.BC9","pres.BC10","pres.JB5","pres.JB7","pres.X135E","pres.JBC","pres.JB370","day","pH"
0,0,2.9e+09,0,13500000,0,0,"paired-comp",4,0,0,1,0,1,0,0,21,5
0,0,1.6e+08,0,1.4e+07,0,0,"paired-comp",5,0,0,1,0,1,0,0,21,5
0,0,1280,0,0,6.7e+07,0,"paired-comp",1,0,0,1,0,0,1,0,21,5
0,0,0,0,0,4.6e+07,0,"paired-comp",2,0,0,1,0,0,1,0,21,5
0,0,0,0,0,6.7e+07,0,"paired-comp",3,0,0,1,0,0,1,0,21,5
0,0,0,0,0,7.7e+07,0,"paired-comp",5,0,0,1,0,0,1,0,21,5
0,0,1.33e+08,0,0,0,9800000,"paired-comp",1,0,0,1,0,0,0,1,21,5
0,0,2.2e+07,0,0,0,11100000,"paired-comp",2,0,0,1,0,0,0,1,21,5
0,0,8.8e+07,0,0,0,9300000,"paired-comp",3,0,0,1,0,0,0,1,21,5
0,0,5.2e+07,0,0,0,4400000,"paired-comp",4,0,0,1,0,0,0,1,21,5
0,0,2.17e+08,0,0,0,6500000,"paired-comp",5,0,0,1,0,0,0,1,21,5
0,0,0,1.48e+09,16400000,0,0,"paired-comp",1,0,0,0,1,1,0,0,21,5
0,0,0,2.1e+09,17900000,0,0,"paired-comp",2,0,0,0,1,1,0,0,21,5
0,0,0,3.71e+09,23800000,0,0,"paired-comp",3,0,0,0,1,1,0,0,21,5
0,0,0,3.48e+09,16900000,0,0,"paired-comp",4,0,0,0,1,1,0,0,21,5
0,0,0,1.98e+09,11800000,0,0,"paired-comp",5,0,0,0,1,1,0,0,21,5
0,0,0,100,0,6.3e+07,0,"paired-comp",1,0,0,0,1,0,1,0,21,5
0,0,0,880000,0,6e+07,0,"paired-comp",2,0,0,0,1,0,1,0,21,5
0,0,0,1.6e+07,0,3.2e+08,0,"paired-comp",3,0,0,0,1,0,1,0,21,5
0,0,0,10,0,7.8e+07,0,"paired-comp",4,0,0,0,1,0,1,0,21,5
0,0,0,10500,0,6.7e+07,0,"paired-comp",5,0,0,0,1,0,1,0,21,5
0,0,0,26700000,0,0,6500000,"paired-comp",1,0,0,0,1,0,0,1,21,5
0,0,0,1.12e+08,0,0,5e+06,"paired-comp",2,0,0,0,1,0,0,1,21,5
0,0,0,5.52e+08,0,0,8300000,"paired-comp",3,0,0,0,1,0,0,1,21,5
0,0,0,1.1e+07,0,0,4800000,"paired-comp",4,0,0,0,1,0,0,1,21,5
0,0,0,3.24e+08,0,0,11800000,"paired-comp",5,0,0,0,1,0,0,1,21,5
0,0,0,0,1000,2.4e+07,0,"paired-comp",1,0,0,0,0,1,1,0,21,5
0,0,0,0,0,2.36e+08,0,"paired-comp",2,0,0,0,0,1,1,0,21,5
0,0,0,0,400,2.9e+07,0,"paired-comp",3,0,0,0,0,1,1,0,21,5
0,0,0,0,0,6.4e+07,0,"paired-comp",4,0,0,0,0,1,1,0,21,5
0,0,0,0,10900000,0,1300000,"paired-comp",1,0,0,0,0,1,0,1,21,5
0,0,0,0,13400000,0,3500000,"paired-comp",2,0,0,0,0,1,0,1,21,5
0,0,0,0,6900000,0,1500000,"paired-comp",3,0,0,0,0,1,0,1,21,5
0,0,0,0,18900000,0,6400000,"paired-comp",4,0,0,0,0,1,0,1,21,5
0,0,0,0,5200000,0,3900000,"paired-comp",5,0,0,0,0,1,0,1,21,5
0,0,0,0,0,4.7e+07,1200,"paired-comp",2,0,0,0,0,0,1,1,21,5
0,0,0,0,0,3.9e+07,1e+06,"paired-comp",3,0,0,0,0,0,1,1,21,5
0,0,0,0,0,5.6e+07,230,"paired-comp",4,0,0,0,0,0,1,1,21,5
