species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
BC10,JB370,3,7,bacteria,120000000,7.23,128000000,7.15,8.079181246047625,8.107209969647869,3
BC10,JB370,10,5,bacteria,264800000,7.396,255000000,7.39,8.422917980767663,8.406540180433955,10
BC10,JB370,10,7,bacteria,185400000,7.808,148000000,7.78,8.268109729808478,8.170261715394957,10
BC10,JB370,21,5,bacteria,225000000,7.175,241000000,7.18,8.352182518111363,8.38201704257487,21
BC10,JB370,21,7,bacteria,139200000,7.87,92000000,7.85,8.143639235274543,7.963787827345556,21
BC10,community,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,community,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,community,3,5,bacteria,29040000,6.702,27000000,6.66,7.462996612028056,7.431363764158987,3
BC10,community,3,7,bacteria,118400000,7.25,115000000,7.16,8.073351702386901,8.060697840353612,3
BC10,community,10,5,bacteria,18640000,6.544,16800000,6.55,7.270445908017963,7.225309281725863,10
BC10,community,10,7,bacteria,70600000,6.712,52000000,6.7,7.848804701051804,7.7160033436347994,10
BC10,community,21,5,bacteria,16680000,7.508,13300000,7.31,7.22219604630172,7.123851640967086,21
BC10,community,21,7,bacteria,125600000,7.79,101000000,7.82,8.098989639401177,8.004321373782643,21
BC9,alone,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,alone,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,alone,3,5,bacteria,1060000,5.87,850000,5.86,6.02530586526477,5.929418925714293,3
BC9,alone,3,7,bacteria,90500000,7.1325,82000000,7.125,7.956648579205203,7.913813852383717,3
BC9,alone,10,5,bacteria,30250000,6.1625,30050000,6.1850000000000005,7.480725378988487,7.477844476338758,10
BC9,alone,10,7,bacteria,263400000,7.596,254000000,7.5,8.420615770625766,8.4048337166199385,10
BC9,alone,21,5,bacteria,17360000,6.16,16700000,6.28,7.239549720840473,7.222716471147583,21
BC9,alone,21,7,bacteria,234000000,7.7299999999999995,260000000,7.62,8.369215857410143,8.414973347970818,21
BC9,135E,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,135E,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,135E,3,5,bacteria,17580000,6.632,9900000,6.59,7.245018870737753,6.99563519459755,3
BC9,135E,3,7,bacteria,110600000,7.254,108000000,7.24,8.04375512696868,8.03342375548695,3
BC9,135E,10,5,bacteria,119000000,6.828,100000000,6.79,8.075546961392531,8,10
BC9,135E,10,7,bacteria,183800000,7.696,194000000,7.61,8.264345507050093,8.287801729930226,10
BC9,135E,21,5,bacteria,215800000,6.93,154000000,7.03,8.334051440346892,8.187520720836464,21
BC9,135E,21,7,bacteria,297800000,7.7139999999999995,290000000,7.59,8.473924693416157,8.462397997898956,21
BC9,BC10,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
