"spec","cond","pH","rep","day","count","dilution","cfus","measured.pH","class"
"JB5","135E",5,1,3,432,-2,432000,6.55,"bacteria"
"JB5","JBC",5,1,3,120,0,1200,6.19,"bacteria"
"JB5","community",5,1,3,84,-3,840000,6.65,"bacteria"
"JB7","alone",5,1,3,16,0,160,6.09,"bacteria"
"JB7","BC9",5,1,3,2,-1,200,6.02,"bacteria"
"JB7","BC10",5,1,3,3,-1,300,6.12,"bacteria"
"JB7","JB5",5,1,3,9,0,90,6.03,"bacteria"
"JB7","135E",5,1,3,301,-2,301000,6.69,"bacteria"
"JB7","JBC",5,1,3,25,0,250,6.21,"bacteria"
"JB7","JB370",5,1,3,12,0,120,6.03,"bacteria"
"JB7","community",5,1,3,34,-3,340000,6.65,"bacteria"
"135E","alone",5,1,3,117,-4,11700000,6.53,"fungi"
"135E","BC9",5,1,3,1500,-3,1.5e+07,6.59,"fungi"
"135E","BC10",5,1,3,4,-2,4000,5.97,"fungi"
"135E","JB5",5,1,3,142,-4,14200000,6.55,"fungi"
"135E","JB7",5,1,3,144,-4,14400000,6.69,"fungi"
"135E","JBC",5,1,3,131,-4,13100000,6.59,"fungi"
"135E","JB370",5,1,3,151,-4,15100000,6.65,"fungi"
"135E","community",5,1,3,141,-4,14100000,6.65,"fungi"
"JBC","alone",5,1,3,133,-1,13300,6.08,"fungi"
"JBC","BC9",5,1,3,204,0,2040,6.17,"fungi"
"JBC","BC10",5,1,3,82,0,820,6.17,"fungi"
"JBC","JB5",5,1,3,112,-1,11200,6.19,"fungi"
"JBC","JB7",5,1,3,75,-1,7500,6.21,"fungi"
"JBC","135E",5,1,3,39,0,390,6.59,"fungi"
"JBC","JB370",5,1,3,130,-1,13000,6.06,"fungi"
"JBC","community",5,1,3,19,0,190,6.65,"fungi"
"JB370","alone",5,1,3,86,0,860,5.96,"fungi"
"JB370","BC9",5,1,3,79,0,790,5.95,"fungi"
"JB370","BC10",5,1,3,18,0,180,6.12,"fungi"
"JB370","JB7",5,1,3,154,0,1540,6.03,"fungi"
"JB370","135E",5,1,3,7,0,70,6.65,"fungi"
"JB370","JBC",5,1,3,1,-1,100,6.06,"fungi"
"JB370","community",5,1,3,6,0,60,6.65,"fungi"
"BC9","BC10",7,1,3,36,-5,3.6e+07,7.22,"bacteria"
"BC9","JB5",7,1,3,244,-5,2.44e+08,7.2,"bacteria"
"BC9","JB7",7,1,3,270,-5,2.7e+08,7.17,"bacteria"
"BC9","135E",7,1,3,168,-5,1.68e+08,7.18,"bacteria"
"BC9","JBC",7,1,3,496,-5,4.96e+08,6.98,"bacteria"
"BC9","JB370",7,1,3,398,-5,3.98e+08,7.16,"bacteria"
"BC9","community",7,1,3,78,-5,7.8e+07,7.13,"bacteria"
"BC10","alone",7,1,3,257,-5,2.57e+08,7.2,"bacteria"
"BC10","BC9",7,1,3,162,-5,1.62e+08,7.22,"bacteria"
"BC10","JB5",7,1,3,115,-5,1.15e+08,7.14,"bacteria"
"BC10","JB7",7,1,3,188,-5,1.88e+08,7.16,"bacteria"
"BC10","135E",7,1,3,205,-5,2.05e+08,7.26,"bacteria"
"BC10","JBC",7,1,3,52,-6,5.2e+08,7.03,"bacteria"
"BC10","JB370",7,1,3,139,-5,1.39e+08,7.15,"bacteria"
"BC10","community",7,1,3,194,-5,1.94e+08,7.13,"bacteria"
"JB5","alone",7,1,3,696,-3,6960000,7.19,"bacteria"
"JB5","BC9",7,1,3,225,-3,2250000,7.2,"bacteria"
"JB5","BC10",7,1,3,137,-3,1370000,7.14,"bacteria"
"JB5","JB7",7,1,3,104,-4,10400000,7.1,"bacteria"
"JB5","135E",7,1,3,200,-4,2e+07,7.12,"bacteria"
"JB5","JBC",7,1,3,252,-4,25200000,6.72,"bacteria"
"JB5","JB370",7,1,3,830,-4,8.3e+07,7.14,"bacteria"
"JB5","community",7,1,3,174,-4,17400000,7.13,"bacteria"
"JB7","alone",7,1,3,263,-4,26300000,7.16,"bacteria"
"JB7","BC9",7,1,3,43,-4,4300000,7.17,"bacteria"
"JB7","BC10",7,1,3,24,-4,2400000,7.16,"bacteria"
"JB7","JB5",7,1,3,43,-5,4.3e+07,7.1,"bacteria"
